Date,Open,High,Low,Close
13-Sep-2016,"608,03","611,19","606,93","609,24"
12-Sep-2016,"607,01","608,46","605,41","608,24"
11-Sep-2016,"623,42","628,82","600,51","606,72"
10-Sep-2016,"622,93","625,1","622,4","623,51"
09-Sep-2016,"626,35","626,83","620,26","622,86"
08-Sep-2016,"614,64","628,77","613,84","626,32"
07-Sep-2016,"610,57","614,55","608,51","614,54"
06-Sep-2016,"606,51","610,83","605,09","610,44"
05-Sep-2016,"608,99","609,06","602,24","606,59"
04-Sep-2016,"598,59","611,84","596,85","608,63"
03-Sep-2016,"575,56","599,5","574,06","598,21"
02-Sep-2016,"572,41","575,64","570,81","575,54"
01-Sep-2016,"575,55","576,31","571,81","572,3"
31-Aug-2016,"577,59","577,86","573,64","575,47"
30-Aug-2016,"574,11","578,36","574,11","577,5"
29-Aug-2016,"574,07","576,28","573,47","574,11"
28-Aug-2016,"569,83","574,04","569,74","573,91"
27-Aug-2016,"579,45","579,85","568,63","569,95"
26-Aug-2016,"577,75","580,62","576,86","579,65"
25-Aug-2016,"580,18","580,45","575,17","577,76"
24-Aug-2016,"583,41","583,59","579,86","580,18"
23-Aug-2016,"586,77","589,47","581,63","583,42"
22-Aug-2016,"581,31","588,45","580,59","586,75"
21-Aug-2016,"581,94","584,16","580,22","581,31"
20-Aug-2016,"576,08","582,82","575,46","581,7"
19-Aug-2016,"574,34","578,24","574,18","575,63"
18-Aug-2016,"573,71","577,79","573,43","574,32"
17-Aug-2016,"577,76","580,89","571,43","573,22"
16-Aug-2016,"567,24","581,74","566,72","577,44"
15-Aug-2016,"570,49","573,58","563,24","567,24"
14-Aug-2016,"585,59","585,67","564,78","570,47"
13-Aug-2016,"587,36","589,77","584,98","585,59"
12-Aug-2016,"588,8","589,91","583,81","587,56"
11-Aug-2016,"592,12","597,54","589,12","589,12"
10-Aug-2016,"587,65","599,98","586,37","592,1"
09-Aug-2016,"591,04","591,09","584,79","587,8"
08-Aug-2016,"592,74","592,99","588,05","591,05"
07-Aug-2016,"587,77","597,51","586,82","592,69"
06-Aug-2016,"575,03","588,4","569,47","587,78"
05-Aug-2016,"578,28","578,28","569,98","575,04"
04-Aug-2016,"566,33","579,5","565,78","578,29"
03-Aug-2016,"548,66","573,36","541,55","566,36"
02-Aug-2016,"606,4","612,85","531,33","547,47"
01-Aug-2016,"624,6","626,12","605,88","606,27"
31-Jul-2016,"655,1","655,29","624,37","624,68"
30-Jul-2016,"657,01","658,22","654,21","655,05"
29-Jul-2016,"655,11","657,8","654,79","656,99"
28-Jul-2016,"654,49","657,6","654,49","655,04"
27-Jul-2016,"651,63","657,46","648,45","654,35"
26-Jul-2016,"654,23","656,23","645,88","651,78"
25-Jul-2016,"661,26","661,83","653,4","654,1"
24-Jul-2016,"655,41","663,11","652,79","661,29"
23-Jul-2016,"650,73","656,37","648,52","655,56"
22-Jul-2016,"664,92","666,58","646,72","650,62"
21-Jul-2016,"665,23","666,22","660,42","665,01"
20-Jul-2016,"672,81","672,93","663,36","665,69"
19-Jul-2016,"672,74","673,28","667,63","672,86"
18-Jul-2016,"679,81","681,56","668,63","673,11"
17-Jul-2016,"661,99","682,37","661,99","679,46"
16-Jul-2016,"663,78","666,46","659,33","660,77"
15-Jul-2016,"659,17","667,08","659,04","663,26"
14-Jul-2016,"652,92","662,9","652,92","658,08"
13-Jul-2016,"664,8","668,7","654,47","654,47"
